Info,Envision,R15.7.2
Info,ProgramName,VK76BBAtp01FS
Info,TimeStamp,Wed Feb 2 15:06:25 2022
Info,Device,MAX20830A_VK76B-0B
Info,LotID,1234
Info,SubLotID,
Info,TesterName,ltxcx002
Info,TesterType,Fusion_CX
Info,Operator,edcarlos
Info,FabID,
Info,Flow,PST_BUMP
Info,AdapterBoard,Vk76_Octal_FS_01
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1052241,-0.100,uA,2,uA,Pre-Stress_Iccq_1.7V_HSon_16V
1052242,-0.100,uA,2,uA,Pre-Stress_Iccq_1.9V_HSon_16V
1052245,-38,uA,250,uA,Pre-Stress_Iddhq_HSon_16V
1052250,-39.500,uA,500,uA,Pre-Stress_Iddhq_rst_HSon_16V
1052260,-200,nA,1500,nA,Pre-Stress_Ibstq_HSon_16V
1052270,-220,nA,300,nA,Pre-Stress_Ldoin_HSon_16V
1052280,0.141,uA,6.150,uA,Pre-Stress_Iddq_AllOff_16V
17200010,-620,mV,300,mV,Stress_VXVerify_BothOff_18V
17200030,-12.300,uA,-8.310,uA,Stress_Ipgm1q_BothOff_18V
17200035,1.760,mA,2.140,mA,Stress_Iddq_BothOff_18V
17200040,-100,nA,2000,nA,Stress_Iccq_Nom_BothOff_18V
17200041,-100,nA,2000,nA,Stress_Iccq_1.7V_BothOff_18V
17200042,-100,nA,2000,nA,Stress_Iccq_1.9V_BothOff_18V
17200045,8.690,uA,12.800,uA,Stress_Iddhq_BothOff_18V
17200050,-0.200,uA,2.400,uA,Stress_Iddhq_rst_BothOff_18V
17200060,-16.400,nA,607,nA,Stress_Ibstq_BothOff_18V
17200070,-0.121,uA,0.277,uA,Stress_Ldoin_BothOff_18V
1005010,1.780,V,1.850,V,T005.DrySw.AVDD.voltage
1005030,1.750,V,1.900,V,T005.DrySw.VCC.voltage
1005050,16.500,V,17.500,V,T005.DrySw.VDDH.voltage
1005070,9.040,mA,12.500,mA,T005.DrySw.AVDD.current
1005110,4,mA,51.800,mA,T005.DrySw.VDDH.current
1006110,19,V,28,V,T006.BVDSS_LS_100ms
1006120,19,V,28,V,T006.BVDSS_LS_500ms
1006130,19,V,28,V,T006.BVDSS_LS_1s
1006140,19,V,28,V,T006.BVDSS_LS_1.5s
1006150,21,V,28,V,T006.BVDSS_LS_3s
1006310,18,V,26,V,T006.BVDSS_HS_100ms
1006320,18,V,26,V,T006.BVDSS_HS_500ms
1006330,18,V,26,V,T006.BVDSS_HS_1s
1006340,18,V,26,V,T006.BVDSS_HS_1.5s
1006350,21,V,26,V,T006.BVDSS_HS_3s
1006510,-8.940,mA,-7.030,mA,T006.I_LX_BVDSS_HS
1006530,37,mA,39,mA,T006.I_LX_BVDSS_LS
1007010,-240,mV,-158,mV,Post_OVST_VXVerify_BothOff_16V
1007030,-10.400,uA,-6.910,uA,Post_OVST_Ipgm1q_BothOff_16V
1007035,1.570,mA,2.150,mA,Post_OVST_Iddq_BothOff_16V
1007040,-100,nA,2000,nA,Post_OVST_Iccq_Nom_BothOff_16V
1007041,-100,nA,2000,nA,Post_OVST_Iccq_1.7V_BothOff_16V
1007042,-240,nA,3600,nA,Post_OVST_Iccq_1.9V_BothOff_16V
1007045,7.920,uA,10.600,uA,Post_OVST_Iddhq_BothOff_16V
1007050,-0.100,uA,1.100,uA,Post_OVST_Iddhq_rst_BothOff_16V
1007060,-19.600,nA,579,nA,Post_OVST_Ibstq_BothOff_16V
1007070,-0.116,uA,0.267,uA,Post_OVST_Ldoin_BothOff_16V
1007080,-4080,nA,1980,nA,Post_OVST_VXLeakage0V_BothOff_16V
1007090,-3.590,uA,8.690,uA,Post_OVST_VXLeakageVddh_BothOff_16V
1007110,-25,mV,25,mV,Post_OVST_VXVerify_LSon_16V
1007130,-10.400,uA,-6.910,uA,Post_OVST_Ipgm1q_LSon_16V
1007135,1.570,mA,2.150,mA,Post_OVST_Iddq_LSon_16V
1007140,-0.060,uA,1,uA,Post_OVST_Iccq_Nom_LSon_16V
1007141,-0.040,uA,0.700,uA,Post_OVST_Iccq_1.7V_LSon_16V
1007142,-0.800,uA,10,uA,Post_OVST_Iccq_1.9V_LSon_16V
1007145,7.850,uA,10.500,uA,Post_OVST_Iddhq_LSon_16V
1007150,-150,nA,1200,nA,Post_OVST_Iddhq_rst_LSon_16V
1007160,-22.600,nA,557,nA,Post_OVST_Ibstq_LSon_16V
1007170,-0.116,uA,0.267,uA,Post_OVST_Ldoin_LSon_16V
1007210,15.900,V,16.100,V,Post_OVST_VXVerify_HSon_16V
1007230,-11.800,uA,-7.660,uA,Post_OVST_Ipgm1q_HSon_16V
1007235,1.700,mA,2.490,mA,Post_OVST_Iddq_HSon_16V
1007240,-0.100,uA,2,uA,Post_OVST_Iccq_Nom_HSon_16V
1007241,-0.100,uA,2,uA,Post_OVST_Iccq_1.7V_HSon_16V
1007242,-0.100,uA,2,uA,Post_OVST_Iccq_1.9V_HSon_16V
1007245,8,uA,13,uA,Post_OVST_Iddhq_HSon_16V
1007250,-0.500,uA,5.250,uA,Post_OVST_Iddhq_rst_HSon_16V
1007260,-200,nA,1500,nA,Post_OVST_Ibstq_HSon_16V
1007270,-123,nA,280,nA,Post_OVST_Ldoin_HSon_16V
1007280,1.500,uA,4.580,uA,Post_OVST_Iddq_AllOff_16V
1009110,-25,mV,25,mV,Post_OVST_VXVerify_LSon_12V
1009130,-8.560,uA,-6.460,uA,Post_OVST_Ipgm1q_LSon_12V
1009140,-0.060,uA,1,uA,Post_OVST_Iccq_Nom_LSon_12V
1009145,5.830,uA,8.650,uA,Post_OVST_Iddhq_LSon_12V
1009210,11.900,V,12.100,V,Post_OVST_VXVerify_HSon_12V
1009230,-8.590,uA,-5.770,uA,Post_OVST_Ipgm1q_HSon_12V
1009240,-0.100,uA,2,uA,Post_OVST_Iccq_Nom_HSon_12V
1009245,6.010,uA,8.900,uA,Post_OVST_Iddhq_HSon_12V
16400010,-9.490,mV,11,mV,Delta_VXVerify_BothOff
16400030,-0.052,uA,0.053,uA,Delta_Ipgm1q_BothOff
16400035,-0.005,mA,0.005,mA,Delta_Iddq_BothOff
16400040,-85.200,nA,37,nA,Delta_Iccq_Nom_BothOff
16400045,-0.109,uA,0.444,uA,Delta_Iddhq_BothOff
16400060,-111,nA,157,nA,Delta_Ibstq_BothOff
16400070,-0.185,uA,0.189,uA,Delta_Ldoin_BothOff
16400080,-52200.001,nA,35100.002,nA,Delta_VXLeakage0V_BothOff
16400090,-200,uA,297,uA,Delta_VXLeakageVddh_BothOff
16400110,-8.120,mV,8.210,mV,Delta_VXVerify_LSon
16400111,-0.053,uA,0.055,uA,Delta_Ipgm1q_LSon
16400135,-0.005,mA,0.005,mA,Delta_Iddq_LSon
16400140,-0.047,uA,0.047,uA,Delta_Iccq_Nom_LSon
16400145,-29.700,uA,44.500,uA,Delta_Iddhq_LSon
16400160,-127,nA,125,nA,Delta_Ibstq_LSon
16400170,-0.196,uA,0.194,uA,Delta_Ldoin_LSon
16400210,-0.009,V,0.009,V,Delta_VXVerify_HSon
16400211,-0.052,uA,0.053,uA,Delta_Ipgm1q_HSon
16400235,-0.072,mA,0.072,mA,Delta_Iddq_HSon
16400240,-0.070,uA,0.070,uA,Delta_Iccq_Nom_HSon
16400245,-161,uA,239,uA,Delta_Iddhq_HSon
16400260,-128,nA,129,nA,Delta_Ibstq_HSon
16400270,-198,nA,197,nA,Delta_Ldoin_HSon
16400280,-0.568,uA,0.559,uA,Delta_Iddq_AllOff
1008010,-228,mV,-170,mV,OVST_VXVerify_BothOff
1008030,-13.600,uA,-9.200,uA,OVST_Ipgm1q_BothOff
1008035,2.200,mA,3.010,mA,OVST_Iddq_BothOff
1008040,5.320,uA,7.560,uA,OVST_Iccq_Nom_BothOff
1008045,9.450,uA,13.900,uA,OVST_Iddhq_BothOff
1008060,64.800,nA,1120,nA,OVST_Ibstq_BothOff
1008070,-5.930,uA,-4.140,uA,OVST_Ldoin_BothOff
1008080,-5.810,uA,1.300,uA,OVST_VXLeakage0V_BothOff
1008090,-0.627,uA,20.700,uA,OVST_VXLeakageVddh_BothOff
1008110,-50,mV,50,mV,OVST_VXVerify_LSon
1008130,-13.600,uA,-9.200,uA,OVST_Ipgm1q_LSon
1008135,2.200,mA,3.010,mA,OVST_Iddq_LSon
1008140,6.520,uA,9.530,uA,OVST_Iccq_Nom_LSon
1008145,9.720,uA,16.500,uA,OVST_Iddhq_LSon
1008160,274,nA,896,nA,OVST_Ibstq_LSon
1008170,-5.940,uA,-4.130,uA,OVST_Ldoin_LSon
1008210,17.950,V,18.050,V,OVST_VXVerify_HSon
1008230,-13.600,uA,-9.200,uA,OVST_Ipgm1q_HSon
1008235,2.130,mA,3.090,mA,OVST_Iddq_HSon
1008240,5.260,uA,7.590,uA,OVST_Iccq_Nom_HSon
1008245,10.800,uA,24.800,uA,OVST_Iddhq_HSon
1008260,-0.068,uA,3,uA,OVST_Ibstq_HSon
1008270,-5.950,uA,-4.130,uA,OVST_Ldoin_HSon
1008280,-0.129,uA,246.700,uA,OVST_Iddq_AllOff
220020,0,none,0,none,read
220030,0,none,138,none,trimmed
2000000,0,none,0,none,pre
2000001,0,none,0,none,pre
2000002,0,none,0,none,pre
2000003,0,none,0,none,pre
2000004,0,none,0,none,pre
2000005,0,none,0,none,pre
2000006,0,none,0,none,pre
2000007,0,none,0,none,pre
2000008,0,none,0,none,pre
2000009,0,none,0,none,pre
2000010,0,none,0,none,pre
2000011,0,none,0,none,pre
2000012,0,none,0,none,pre
2000013,0,none,0,none,pre
2000014,0,none,0,none,pre
2000015,0,none,0,none,pre
2000016,0,none,0,none,pre
2000017,0,none,255,none,pre
2000018,0,none,255,none,pre
2000019,0,none,255,none,pre
2000020,0,none,255,none,pre
2000021,0,none,0,none,pre
2000022,0,none,0,none,pre
2000023,0,none,0,none,pre
2000024,0,none,0,none,pre
2000025,0,none,0,none,pre
2000026,0,none,0,none,pre
2000027,0,none,0,none,pre
2000028,0,none,0,none,pre
2000029,0,none,0,none,pre
2000030,0,none,0,none,pre
2000031,0,none,0,none,pre
2000032,0,none,0,none,pre
2000033,0,none,0,none,pre
2000034,0,none,0,none,pre
2000035,0,none,0,none,pre
2000036,0,none,0,none,pre
2000037,0,none,0,none,pre
2000038,0,none,0,none,pre
2000039,0,none,0,none,pre
2000040,0,none,0,none,pre
2000041,0,none,0,none,pre
2000042,0,none,0,none,pre
2000043,0,none,0,none,pre
2000044,0,none,0,none,pre
2000045,0,none,0,none,pre
2000046,0,none,0,none,pre
2000047,0,none,0,none,pre
230020,0,none,1,none,trims
240020,0,none,0,none,read
2100000,0,none,0,none,post
2100001,0,none,0,none,post
2100002,0,none,0,none,post
2100003,0,none,0,none,post
2100004,0,none,0,none,post
2100005,0,none,0,none,post
2100006,0,none,0,none,post
2100007,0,none,0,none,post
2100008,0,none,0,none,post
2100009,0,none,0,none,post
2100010,0,none,0,none,post
2100011,0,none,0,none,post
2100012,0,none,0,none,post
2100013,0,none,0,none,post
2100014,0,none,0,none,post
2100015,0,none,0,none,post
2100016,0,none,0,none,post
2100017,0,none,255,none,post
2100018,0,none,255,none,post
2100019,0,none,255,none,post
2100020,0,none,255,none,post
2100021,0,none,0,none,post
2100022,0,none,0,none,post
2100023,0,none,0,none,post
2100024,0,none,0,none,post
2100025,0,none,0,none,post
2100026,0,none,0,none,post
2100027,0,none,0,none,post
2100028,0,none,0,none,post
2100029,0,none,0,none,post
2100030,0,none,0,none,post
2100031,0,none,0,none,post
2100032,0,none,0,none,post
2100033,0,none,0,none,post
2100034,0,none,0,none,post
2100035,0,none,0,none,post
2100036,0,none,0,none,post
2100037,0,none,0,none,post
2100038,0,none,0,none,post
2100039,0,none,0,none,post
2100040,0,none,0,none,post
2100041,0,none,0,none,post
2100042,0,none,0,none,post
2100043,0,none,0,none,post
2100044,0,none,0,none,post
2100045,0,none,0,none,post
2100046,0,none,0,none,post
2100047,0,none,0,none,post
250010,0,none,0,none,failure
250030,,,,,Coordinate
250040,,,,,Coordinate
250050,,,,,ID
250055,,,,,ID
250060,,,,,1=Yes)
250070,,,,,Number
